task;task.short_description;Urgency;task.business_duration
INC0403221;PRO WARN Alert Type: NetworkIn. Threshold Crossed: 1 datapoint [6.1438108E7 (27/04/21 05:51:00)] was greater than or equal to the threshold (2.8E7).;Not immediate;37013
INC0403221;PRO WARN Alert Type: NetworkIn. Threshold Crossed: 1 datapoint [6.1438108E7 (27/04/21 05:51:00)] was greater than or equal to the threshold (2.8E7).;Not immediate;37013
INC0403222;Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7781229.0 (27/04/21 05:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;36685
INC0403222;Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7781229.0 (27/04/21 05:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;36685
INC0403223;Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [1.2348002E7 (27/04/21 06:06:00)] was greater than or equal to the threshold (1.0E7).;Not immediate;36116
INC0403223;Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [1.2348002E7 (27/04/21 06:06:00)] was greater than or equal to the threshold (1.0E7).;Not immediate;36116
INC0403224;PRO WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 06:26:00)] was greater than or equal to the threshold (16.0).;Not immediate;34901
INC0403224;PRO WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 06:26:00)] was greater than or equal to the threshold (16.0).;Not immediate;34901
INC0403225;PRO HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 06:26:00)] was greater than or equal to the threshold (20.0).;Some;34848
INC0403225;PRO HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 06:26:00)] was greater than or equal to the threshold (20.0).;Some;34848
INC0403225;PRO HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 06:26:00)] was greater than or equal to the threshold (20.0).;Some;34848
INC0403226;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;7896
INC0403226;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;7896
INC0403226;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;7896
INC0403227;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:11.9167;Some;375
INC0403227;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:11.9167;Some;375
INC0403228;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;376
INC0403228;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;376
INC0403228;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;376
INC0403228;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;376
INC0403229;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;364
INC0403229;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;364
INC0403229;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;364
INC0403229;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;364
INC0403230;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;243
