task;task.short_description;Urgency;task.business_duration
INC0401549;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;371
INC0401549;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;371
INC0401549;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;371
INC0401550;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;240
INC0401551;DEV HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (20.0).;Not immediate;667344
INC0401551;DEV HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (20.0).;Not immediate;667344
INC0401552;DEV WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (16.0).;Not immediate;667507
INC0401552;DEV WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (31/03/21 23:18:00)] was greater than or equal to the threshold (16.0).;Not immediate;667507
INC0401553;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;375
INC0401554;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;386
INC0401555;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;379
INC0401556;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;239
INC0401557;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;757
INC0401558;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;238
INC0401559;AQPLCS01.agbar.ga.local:mon_SO_UNIX_FS_pfree_$1_CSGI TRIGGERED EVENT: AQPLCS01.agbar.ga.local /data low free space 85% WITH VALUE:14.9871;Not immediate;9597
INC0401560;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;234
INC0401560;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;234
INC0401561;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;375
INC0401561;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;375
INC0401562;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;8666
INC0401562;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;8666
INC0401563;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:2;Some;116
INC0401563;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:2;Some;116
INC0401564;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;11513
INC0401564;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;11513
INC0401565;prodapibnka:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on prodapibnka WITH VALUE:1.4250;Not immediate;241
INC0401566;prodapibnka:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on prodapibnka WITH VALUE:1.1650;Some;112
INC0401566;prodapibnka:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on prodapibnka WITH VALUE:1.1650;Some;112
INC0401567;CFPLMYSQL_MARIADB:mon_BD_MYSQL_TABLE_Locks_that_required_waiting TRIGGERED EVENT: Mysql: Lock problems in the MYSQL instance WITH VALUE:165378;Some;112
INC0401567;CFPLMYSQL_MARIADB:mon_BD_MYSQL_TABLE_Locks_that_required_waiting TRIGGERED EVENT: Mysql: Lock problems in the MYSQL instance WITH VALUE:165378;Some;112
INC0401568;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;500
INC0401568;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;500
INC0401569;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;9851
INC0401569;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;9851
INC0401570;DMDB12:mon_BD_ORACLE_query[checks_60m,p_ts_rw,status] TRIGGERED EVENT: zbxora[query,checks_60m,p_ts_rw] failed WITH VALUE:1013;Not immediate;3612
INC0401571;DMDB12:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:8;Some;510
INC0401571;DMDB12:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:8;Some;510
INC0401572;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:6;Some;108
INC0401572;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:6;Some;108
INC0401573;CONTINGENCIA-PRE TRIGGERED EVENT: URL https://contingencia.nodofarma.es is DOWN.;Some;367
INC0401573;CONTINGENCIA-PRE TRIGGERED EVENT: URL https://contingencia.nodofarma.es is DOWN.;Some;367
INC0401574;REGISTROFARMA-PREP TRIGGERED EVENT: URL https://registrofarma.nodofarma.es is DOWN.;Some;249
INC0401574;REGISTROFARMA-PREP TRIGGERED EVENT: URL https://registrofarma.nodofarma.es is DOWN.;Some;249
INC0401575;CONTINGENCIA-PRE TRIGGERED EVENT: URL https://contingencia.nodofarma.es is DOWN.;Some;118
INC0401575;CONTINGENCIA-PRE TRIGGERED EVENT: URL https://contingencia.nodofarma.es is DOWN.;Some;118
INC0401576;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;10461
INC0401576;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;10461
INC0401577;PRO WARN Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7862149.0 (01/04/21 12:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;618402
INC0401577;PRO WARN Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7862149.0 (01/04/21 12:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;618402
INC0401577;PRO WARN Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7862149.0 (01/04/21 12:56:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;618402
INC0401578;prodapibnkc:mon_SO_UNIX_FS_pfree_$1_CSGI TRIGGERED EVENT: prodapibnkc / low free space 90% WITH VALUE:9.9962;Some;25554
INC0401578;prodapibnkc:mon_SO_UNIX_FS_pfree_$1_CSGI TRIGGERED EVENT: prodapibnkc / low free space 90% WITH VALUE:9.9962;Some;25554
INC0401579;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;102
INC0401579;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;102
INC0401580;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;113
INC0401580;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;113
INC0401581;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;11143
INC0401581;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;11143
INC0401582;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;9461
INC0401582;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;9461
INC0401583;CFPLMYSQL01DRBD1:mon_BD_MYSQL_TABLE_Locks_that_required_waiting TRIGGERED EVENT: Mysql: Lock problems in the MYSQL instance WITH VALUE:3300;Some;101
INC0401583;CFPLMYSQL01DRBD1:mon_BD_MYSQL_TABLE_Locks_that_required_waiting TRIGGERED EVENT: Mysql: Lock problems in the MYSQL instance WITH VALUE:3300;Some;101
INC0401584;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;243
INC0401584;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;243
INC0401585;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;11668
INC0401585;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;11668
INC0401586;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;371
INC0401587;BOAIS1:mon_BD_ORACLE_query[auto_discovery_60,dgrp.lld,status] TRIGGERED EVENT: zbxora[query,auto_discovery_60,dgrp.lld] failed WITH VALUE:1013;Not immediate;3754
INC0401588;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDocumentsByUser TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDocumentsByUser is DOWN on CFPLAGW012 WITH ;Some;238
INC0401588;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDocumentsByUser TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDocumentsByUser is DOWN on CFPLAGW012 WITH ;Some;238
INC0401588;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDocumentsByUser TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDocumentsByUser is DOWN on CFPLAGW012 WITH ;Some;238
INC0401589;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_downloadDocumentsById TRIGGERED EVENT: http://10.15.76.103:8080/SADD/downloadDocumentsById is DOWN on CFPLAGW012;Some;237
INC0401589;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_downloadDocumentsById TRIGGERED EVENT: http://10.15.76.103:8080/SADD/downloadDocumentsById is DOWN on CFPLAGW012;Some;237
INC0401589;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_downloadDocumentsById TRIGGERED EVENT: http://10.15.76.103:8080/SADD/downloadDocumentsById is DOWN on CFPLAGW012;Some;237
INC0401590;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.102:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;237
INC0401590;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.102:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;237
INC0401590;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.102:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;237
INC0401591;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;236
INC0401591;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;236
INC0401591;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;236
INC0401592;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_downloadDocumentsById TRIGGERED EVENT: http://10.15.76.102:8080/SADD/downloadDocumentsById is DOWN on CFPLAGW011;Some;234
INC0401592;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_downloadDocumentsById TRIGGERED EVENT: http://10.15.76.102:8080/SADD/downloadDocumentsById is DOWN on CFPLAGW011;Some;234
INC0401592;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_downloadDocumentsById TRIGGERED EVENT: http://10.15.76.102:8080/SADD/downloadDocumentsById is DOWN on CFPLAGW011;Some;234
INC0401593;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_getDocumentsByUser TRIGGERED EVENT: http://10.15.76.102:8080/SADD/getDocumentsByUser is DOWN on CFPLAGW011 WITH ;Some;233
INC0401593;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_getDocumentsByUser TRIGGERED EVENT: http://10.15.76.102:8080/SADD/getDocumentsByUser is DOWN on CFPLAGW011 WITH ;Some;233
INC0401593;CFPLSA01WEB:mon_WEB_APACHE_URL_CFPLSA01WEB_SADD_getDocumentsByUser TRIGGERED EVENT: http://10.15.76.102:8080/SADD/getDocumentsByUser is DOWN on CFPLAGW011 WITH ;Some;233
INC0401594;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;250
INC0401594;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;250
INC0401594;CFPLSA02WEB:mon_WEB_APACHE_URL_CFPLSA02WEB_SADD_getDescriptionCategories TRIGGERED EVENT: http://10.15.76.103:8080/SADD/getDescriptionCategories is DOWN on CFPL;Some;250
INC0401595;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;248
INC0401596;sopra02fw:mon_SO_UNIX_System_CPU_Usage TRIGGERED EVENT: CPU usage exceeded 60% WITH VALUE:95;Some;235
INC0401596;sopra02fw:mon_SO_UNIX_System_CPU_Usage TRIGGERED EVENT: CPU usage exceeded 60% WITH VALUE:95;Some;235
INC0401597;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;375
INC0401598;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;365
INC0401599;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;8435
INC0401599;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;8435
INC0401600;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;374
INC0401601;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;374
INC0401602;CFPWSQL01:mon_BD_ Alerta Bloqueos TRIGGERED EVENT: ver detalle en [SoporteDBA].[dbo].[bloqueos] WITH VALUE:NOK;Some;623
INC0401602;CFPWSQL01:mon_BD_ Alerta Bloqueos TRIGGERED EVENT: ver detalle en [SoporteDBA].[dbo].[bloqueos] WITH VALUE:NOK;Some;623
INC0401603;sopra02fw:mon_SO_UNIX_System_CPU_Usage TRIGGERED EVENT: CPU usage exceeded 60% WITH VALUE:69;Some;248
INC0401603;sopra02fw:mon_SO_UNIX_System_CPU_Usage TRIGGERED EVENT: CPU usage exceeded 60% WITH VALUE:69;Some;248
INC0401604;sopra02fw:mon_SO_UNIX_System_CPU_Usage TRIGGERED EVENT: CPU usage exceeded 50% WITH VALUE:43;Not immediate;373
INC0401605;DMDB12:mon_BD_ORACLE_query[my_checks_05m,lista_bloqueos,status] TRIGGERED EVENT: zbxora[query,my_checks_05m,lista_bloqueos] failed WITH VALUE:1489;Not immediate;114
INC0401606;DMDB11:mon_BD_ORACLE_query[my_checks_05m,lista_bloqueos,status] TRIGGERED EVENT: zbxora[query,my_checks_05m,lista_bloqueos] failed WITH VALUE:1489;Not immediate;113
INC0401607;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:7;Some;113
INC0401607;DMDB11:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:7;Some;113
INC0401608;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;241
INC0401609;BOAIS1:mon_BD_ORACLE_query[auto_discovery_60,dgrp.lld,status] TRIGGERED EVENT: zbxora[query,auto_discovery_60,dgrp.lld] failed WITH VALUE:1013;Not immediate;3491
INC0401610;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;245
INC0401610;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;245
INC0401611;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;12681
INC0401611;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;12681
INC0401612;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;239
INC0401613;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;239
INC0401614;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;238
INC0401615;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;237
INC0401616;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;247
INC0401617;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;7637
INC0401617;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;7637
INC0401618;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;378
INC0401619;CFPWSQL01:mon_BD_ Alerta Bloqueos TRIGGERED EVENT: ver detalle en [SoporteDBA].[dbo].[bloqueos] WITH VALUE:NOK;Some;627
INC0401619;CFPWSQL01:mon_BD_ Alerta Bloqueos TRIGGERED EVENT: ver detalle en [SoporteDBA].[dbo].[bloqueos] WITH VALUE:NOK;Some;627
INC0401620;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;498
INC0401620;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;498
INC0401621;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;14007
INC0401621;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;14007
INC0401622;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;365
INC0401623;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;246
INC0401624;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;106
INC0401628;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;493
INC0401629;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;221
INC0401630;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;6464
INC0401630;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;6464
INC0401631;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;374
INC0401632;BOAIS1:mon_BD_ORACLE_rman[DB INCR,age] TRIGGERED EVENT: rman bkup DB INCR 4 * older than usual avg WITH VALUE:7037;Not immediate;1144
INC0401633;BOAIS1:mon_BD_ORACLE_rman[ARCHIVELOG,age] TRIGGERED EVENT: rman bkup ARCHIVELOG 4 * older than usual avg WITH VALUE:7017;Not immediate;1143
INC0401634;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;763
INC0401635;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;244
INC0401636;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;15651
INC0401636;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;15651
INC0401637;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;241
INC0401638;BO-DB-SRV-2:mon_BD_ORACLE_ALERT_INSTANCE_{$INSTANCE_NAME2} TRIGGERED EVENT: Error.Low.File.Alert.BBDD.Oracle_BOAIS2 WITH VALUE:ORA-27056: could not delete file;Not immediate;371
INC0401639;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;367
INC0401640;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;748
INC0401641;CFPLMYSQL01DRBD1:mon_BD_MYSQL_TABLE_Locks_that_required_waiting TRIGGERED EVENT: Mysql: Lock problems in the MYSQL instance WITH VALUE:3303;Some;237
INC0401641;CFPLMYSQL01DRBD1:mon_BD_MYSQL_TABLE_Locks_that_required_waiting TRIGGERED EVENT: Mysql: Lock problems in the MYSQL instance WITH VALUE:3303;Some;237
INC0401642;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;5028
INC0401642;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;5028
INC0401643;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;507
INC0401644;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;117
INC0401645;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;234
INC0401646;BOAIS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;496
INC0401647;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;16866
INC0401647;SOPRWSUS01:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on SOPRWSUS01 WITH VALUE:0;Some;16866
INC0401648;BOSONAPS1:mon_BD_ORACLE_query[checks_05m,dgrp.used,status] TRIGGERED EVENT: zbxora[query,checks_05m,dgrp.used] failed WITH VALUE:1013;Not immediate;761
